"Date","Time","Open","High","Low","Close","Up","Down"
08/19/2021,06:00,19775.0,20112.5,19587.5,19737.5,0,0
08/19/2021,07:00,19737.5,20050.0,19637.5,19850.0,0,0
08/19/2021,08:00,19837.5,19925.0,18900.0,19350.0,0,0
08/19/2021,09:00,19362.5,19775.0,18862.5,19325.0,0,0
08/19/2021,10:00,19362.5,19750.0,18975.0,19400.0,0,0
08/19/2021,11:00,19400.0,19675.0,18850.0,19012.5,0,0
08/19/2021,12:00,18987.5,19275.0,18800.0,19062.5,0,0
08/19/2021,13:00,19037.5,19175.0,18725.0,18975.0,0,0
08/19/2021,14:00,18900.0,19287.5,18475.0,19200.0,0,0
08/19/2021,15:00,19150.0,19375.0,18825.0,18900.0,0,0
08/19/2021,16:00,18962.5,19300.0,18787.5,19087.5,0,0
08/19/2021,17:00,19112.5,19275.0,18875.0,19037.5,0,0
08/19/2021,18:00,19012.5,19250.0,18887.5,18925.0,0,0
08/20/2021,02:00,19037.5,19450.0,18850.0,19287.5,0,0
08/20/2021,03:00,19262.5,19425.0,18912.5,19212.5,0,0
08/20/2021,04:00,19187.5,19700.0,19087.5,19575.0,0,0
08/20/2021,05:00,19550.0,19750.0,19350.0,19637.5,0,0
08/20/2021,06:00,19612.5,19700.0,19287.5,19650.0,0,0
08/20/2021,07:00,19625.0,19925.0,19500.0,19750.0,0,0
08/20/2021,08:00,19750.0,19975.0,19500.0,19787.5,0,0
08/20/2021,09:00,19762.5,19950.0,19550.0,19700.0,0,0
08/20/2021,10:00,19700.0,19887.5,19375.0,19575.0,0,0
08/20/2021,11:00,19600.0,19712.5,19275.0,19550.0,0,0
08/20/2021,12:00,19550.0,19625.0,19200.0,19350.0,0,0
08/20/2021,13:00,19350.0,19612.5,19050.0,19250.0,0,0
08/20/2021,14:00,19262.5,19575.0,18937.5,19300.0,0,0
08/20/2021,15:00,19362.5,19575.0,19062.5,19237.5,0,0
08/20/2021,16:00,19237.5,19312.5,18825.0,18950.0,0,0
08/20/2021,17:00,18925.0,19037.5,18537.5,18775.0,0,0
08/20/2021,18:00,18775.0,18937.5,18512.5,18712.5,0,0
08/23/2021,02:00,18837.5,19050.0,18362.5,18650.0,0,0
08/23/2021,03:00,18650.0,18662.5,17987.5,18125.0,0,0
08/23/2021,04:00,18100.0,18200.0,17887.5,18000.0,0,0
08/23/2021,05:00,18025.0,18287.5,17775.0,18175.0,0,0
08/23/2021,06:00,18125.0,18300.0,18062.5,18300.0,0,0
08/23/2021,07:00,18300.0,18300.0,17725.0,17925.0,0,0
08/23/2021,08:00,17950.0,18137.5,17725.0,17875.0,0,0
08/23/2021,09:00,17825.0,18662.5,17600.0,18400.0,0,0
08/23/2021,10:00,18425.0,19075.0,18250.0,18750.0,0,0
08/23/2021,11:00,18775.0,18800.0,18237.5,18325.0,0,0
08/23/2021,12:00,18325.0,18600.0,18225.0,18525.0,0,0
08/23/2021,13:00,18512.5,18687.5,18137.5,18662.5,0,0
08/23/2021,14:00,18687.5,18912.5,17975.0,18150.0,0,0
08/23/2021,15:00,18175.0,18362.5,17800.0,18112.5,0,0
08/23/2021,16:00,18075.0,18250.0,17850.0,18012.5,0,0
08/23/2021,17:00,18012.5,18412.5,17900.0,18325.0,0,0
08/23/2021,18:00,18350.0,18725.0,18187.5,18550.0,0,0
08/24/2021,02:00,18575.0,18850.0,18287.5,18850.0,0,0
